Well Name,Well Type,Well Control,LowerBound,UpperBound,Time,Default Scenario,Scenario 1,Scenario 2
P3,Producer,BHP,500,2000,780,1000,400,1100
P3,Producer,BHP,500,2000,840,1000,400,1100
P3,Producer,BHP,500,2000,900,1000,400,1100
P3,Producer,BHP,500,2000,960,1000,400,1100
P3,Producer,BHP,500,2000,1020,1000,400,1100
P3,Producer,BHP,500,2000,1080,1000,400,1100
P3,Producer,BHP,500,2000,1140,1000,400,1100
P3,Producer,BHP,500,2000,1200,1000,400,1100
P4,Producer,BHP,500,2000,60,1700,1500,2000
P4,Producer,BHP,500,2000,120,1700,1400,1900
P4,Producer,BHP,500,2000,180,1700,1300,1800
P4,Producer,BHP,500,2000,240,1700,1200,1700
P4,Producer,BHP,500,2000,300,1700,1100,1600
P4,Producer,BHP,500,2000,360,1700,1000,1500
P4,Producer,BHP,500,2000,420,1700,900,1400
P4,Producer,BHP,500,2000,480,1700,1000,1500
P4,Producer,BHP,500,2000,540,1700,1100,1600
P4,Producer,BHP,500,2000,600,1700,1200,1700
P4,Producer,BHP,500,2000,660,1700,1300,1800
P4,Producer,BHP,500,2000,720,1700,1400,1900
P4,Producer,BHP,500,2000,780,1700,1500,2000
P4,Producer,BHP,500,2000,840,1700,1600,2100
P4,Producer,BHP,500,2000,900,1700,1700,2200
P4,Producer,BHP,500,2000,960,1700,1800,2300
P4,Producer,BHP,500,2000,1020,1700,1900,2400
P4,Producer,BHP,500,2000,1080,1700,2000,2500
P4,Producer,BHP,500,2000,1140,1700,2100,2600
P4,Producer,BHP,500,2000,1200,1700,2200,2700
P5,Producer,BHP,500,2000,60,600,300,2500
P5,Producer,BHP,500,2000,120,600,400,2400
P5,Producer,BHP,500,2000,180,600,500,2300
P5,Producer,BHP,500,2000,240,600,600,2200
P5,Producer,BHP,500,2000,300,600,700,2100
P5,Producer,BHP,500,2000,360,600,800,2000
P5,Producer,BHP,500,2000,420,600,900,1900
P5,Producer,BHP,500,2000,480,600,1000,1800
P5,Producer,BHP,500,2000,540,600,1100,1700
P5,Producer,BHP,500,2000,600,600,1200,1600
P5,Producer,BHP,500,2000,660,600,1300,1500
P5,Producer,BHP,500,2000,720,600,1400,1400
P5,Producer,BHP,500,2000,780,600,1500,1300
P5,Producer,BHP,500,2000,840,600,1600,1200
P5,Producer,BHP,500,2000,900,600,1700,1100
P5,Producer,BHP,500,2000,960,600,1800,1000
P5,Producer,BHP,500,2000,1020,600,1900,900
P5,Producer,BHP,500,2000,1080,600,2000,800
P5,Producer,BHP,500,2000,1140,600,2100,700
P5,Producer,BHP,500,2000,1200,600,2200,600
I1,Injector,WIR,0,8000,60,5000,2000,8000
I1,Injector,WIR,0,8000,120,5000,2000,8000
I1,Injector,WIR,0,8000,180,5000,2000,8000
I1,Injector,WIR,0,8000,240,5000,2000,8000
I1,Injector,WIR,0,8000,300,5000,2000,8000
I1,Injector,WIR,0,8000,360,5000,2000,8000
I1,Injector,WIR,0,8000,420,5000,2000,8000
I1,Injector,WIR,0,8000,480,5000,2000,8000
I1,Injector,WIR,0,8000,540,5000,2000,8000
I1,Injector,WIR,0,8000,600,5000,2000,8000
I1,Injector,WIR,0,8000,660,5000,2000,8000
I1,Injector,WIR,0,8000,720,5000,2000,8000
I1,Injector,WIR,0,8000,780,5000,2000,8000
I1,Injector,WIR,0,8000,840,5000,2000,8000
I1,Injector,WIR,0,8000,900,5000,2000,8000
I1,Injector,WIR,0,8000,960,5000,2000,8000
I1,Injector,WIR,0,8000,1020,5000,2000,8000
I1,Injector,WIR,0,8000,1080,5000,2000,8000
I1,Injector,WIR,0,8000,1140,5000,2000,8000
I1,Injector,WIR,0,8000,1200,5000,2000,8000
I2,Injector,WIR,0,8000,60,3000,1000,6000
I2,Injector,WIR,0,8000,120,3000,1000,6000
I2,Injector,WIR,0,8000,180,3000,1000,6000
I2,Injector,WIR,0,8000,240,3000,1000,6000
I2,Injector,WIR,0,8000,300,3000,1000,6000
I2,Injector,WIR,0,8000,360,3000,1000,6000
I2,Injector,WIR,0,8000,420,3000,1000,6000
I2,Injector,WIR,0,8000,480,3000,1000,6000
I2,Injector,WIR,0,8000,540,3000,1000,6000
I2,Injector,WIR,0,8000,600,3000,1000,6000
I2,Injector,WIR,0,8000,660,3000,1000,6000
I2,Injector,WIR,0,8000,720,3000,1000,6000
I2,Injector,WIR,0,8000,780,3000,1000,6000
I2,Injector,WIR,0,8000,840,3000,1000,6000
I2,Injector,WIR,0,8000,900,3000,1000,6000
I2,Injector,WIR,0,8000,960,3000,1000,6000
I2,Injector,WIR,0,8000,1020,3000,1000,6000
I2,Injector,WIR,0,8000,1080,3000,1000,6000
I2,Injector,WIR,0,8000,1140,3000,1000,6000
I2,Injector,WIR,0,8000,1200,3000,1000,6000
I3,Injector,WIR,0,8000,60,2500,500,7500
I3,Injector,WIR,0,8000,120,2500,500,7500
I3,Injector,WIR,0,8000,180,2500,500,7500
I3,Injector,WIR,0,8000,240,2500,500,7500
I3,Injector,WIR,0,8000,300,2500,500,7500
I3,Injector,WIR,0,8000,360,2500,500,7500
I3,Injector,WIR,0,8000,420,2500,500,7500
I3,Injector,WIR,0,8000,480,2500,500,7500
I3,Injector,WIR,0,8000,540,2500,500,7500
I3,Injector,WIR,0,8000,600,2500,500,7500
I3,Injector,WIR,0,8000,660,3500,2500,5500
I3,Injector,WIR,0,8000,720,3500,2500,5500
I3,Injector,WIR,0,8000,780,3500,2500,5500
I3,Injector,WIR,0,8000,840,3500,2500,5500
I3,Injector,WIR,0,8000,900,3500,2500,5500
I3,Injector,WIR,0,8000,960,3500,2500,5500
I3,Injector,WIR,0,8000,1020,3500,2500,5500
I3,Injector,WIR,0,8000,1080,3500,2500,5500
I3,Injector,WIR,0,8000,1140,3500,2500,5500
I3,Injector,WIR,0,8000,1200,3500,2500,5500
I4,Injector,WIR,0,8000,60,4000,1000,9000
I4,Injector,WIR,0,8000,120,3000,1200,8800
I4,Injector,WIR,0,8000,180,4000,1400,8600
I4,Injector,WIR,0,8000,240,3000,1600,8400
I4,Injector,WIR,0,8000,300,4000,1800,8200
I4,Injector,WIR,0,8000,360,3000,2000,8000
I4,Injector,WIR,0,8000,420,4000,2200,7800
I4,Injector,WIR,0,8000,480,3000,2400,7600
I4,Injector,WIR,0,8000,540,4000,2600,7400
I4,Injector,WIR,0,8000,600,3000,2800,7200
I4,Injector,WIR,0,8000,660,4000,3000,7000
I4,Injector,WIR,0,8000,720,3000,3200,6800
I4,Injector,WIR,0,8000,780,4000,3400,6600
I4,Injector,WIR,0,8000,840,3000,3600,6400
I4,Injector,WIR,0,8000,900,4000,3800,6200
I4,Injector,WIR,0,8000,960,3000,4000,6000
I4,Injector,WIR,0,8000,1020,4000,4200,5800
I4,Injector,WIR,0,8000,1080,3000,4400,5600
I4,Injector,WIR,0,8000,1140,4000,4600,5400
I4,Injector,WIR,0,8000,1200,3000,4800,5200
